laser_power	recombination
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
5.5	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
6.5	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	0
7.5	1
7.5	0
7.5	0
8	0
8	0
8	0
8	0
8	0
8	0
8	0
8	0
8	0
8	0
8	0
8	0
8	0
8	0
8	0
8	1
8	0
8	0
8	0
8	0
8.5	0
8.5	0
8.5	0
8.5	1
8.5	0
8.5	0
8.5	1
8.5	0
8.5	0
8.5	0
8.5	0
8.5	0
8.5	0
8.5	0
8.5	0
8.5	0
8.5	0
8.5	0
8.5	0
8.5	0
9	1
9	0
9	0
9	1
9	0
9	0
9	0
9	0
9	0
9	1
9	0
9	0
9	0
9	1
9	1
9	1
9	1
9	0
9	0
9	0
9.5	0
9.5	0
9.5	0
9.5	0
9.5	1
9.5	0
9.5	0
9.5	0
9.5	0
9.5	0
9.5	0
9.5	0
9.5	0
9.5	0
9.5	1
9.5	0
9.5	0
9.5	1
9.5	0
9.5	0
10	1
10	0
10	1
10	0
10	1
10	1
10	1
10	0
10	1
10	0
10	0
10	0
10	0
10	1
10	0
10	0
10	0
10	1
10	0
10	1
10.5	1
10.5	0
10.5	1
10.5	1
10.5	0
10.5	1
10.5	1
10.5	1
10.5	1
10.5	1
10.5	1
10.5	0
10.5	0
10.5	0
10.5	0
10.5	1
10.5	0
10.5	1
10.5	1
10.5	0
11	1
11	0
11	1
11	1
11	1
11	1
11	0
11	1
11	1
11	1
11	1
11	1
11	0
11	0
11	1
11	0
11	1
11	1
11	1
11	0
11.5	0
11.5	0
11.5	1
11.5	1
11.5	0
11.5	1
11.5	0
11.5	1
11.5	1
11.5	1
11.5	1
11.5	1
11.5	1
11.5	0
11.5	0
11.5	1
11.5	1
11.5	1
11.5	0
11.5	0
12	1
12	1
12	1
12	1
12	1
12	0
12	1
12	1
12	1
12	1
12	1
12	1
12	0
12	1
12	1
12	1
12	0
12	1
12	0
12	0
12.5	1
12.5	1
12.5	1
12.5	1
12.5	1
12.5	0
12.5	1
12.5	0
12.5	1
12.5	1
12.5	1
12.5	1
12.5	1
12.5	1
12.5	1
12.5	1
12.5	1
12.5	1
12.5	0
12.5	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
13.5	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
14.5	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	0
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
15.5	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
16.5	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
17.5	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
18	1
